path	type	mode	uid	gid	size	mtime_ns	link_target
/home/lilingfeng/project/juicefs/pkg/version/.gitattributes	dir	644	lilingfeng	lilingfeng	24	1781576081.9387262600	
/home/lilingfeng/project/juicefs/pkg/version/version_test.go	dir	644	lilingfeng	lilingfeng	1771	1781576081.9387262600	
/home/lilingfeng/project/juicefs/pkg/version/version.go	dir	644	lilingfeng	lilingfeng	2581	1782895654.7685097450	
/home/lilingfeng/project/juicefs/pkg/compress	dir	755	lilingfeng	lilingfeng	4096	1781576081.9227262310	
/home/lilingfeng/project/juicefs/pkg/compress/compress_test.go	dir	644	lilingfeng	lilingfeng	3474	1781576081.9227262310	
/home/lilingfeng/project/juicefs/pkg/compress/compress.go	dir	644	lilingfeng	lilingfeng	3396	1781576081.9227262310	
/home/lilingfeng/project/juicefs/pkg/vfs	dir	755	lilingfeng	lilingfeng	4096	1786672095.4592260570	
/home/lilingfeng/project/juicefs/pkg/vfs/helpers.go	dir	644	lilingfeng	lilingfeng	2450	1781576081.9387262600	
/home/lilingfeng/project/juicefs/pkg/vfs/vfs_unix.go	dir	644	lilingfeng	lilingfeng	9763	1782895654.7725098030	
/home/lilingfeng/project/juicefs/pkg/vfs/helpers_test.go	dir	644	lilingfeng	lilingfeng	1881	1781576081.9387262600	
